timestamp,mint,ticker,peakPct,peakAtSec,exitPct,holdSec,exitReason
2026-03-15T23:07:49.000Z,8FD6hoRznJxo8fkj,LAG,7.1,0.4,-9.0,9,BE -5.2% (peak 7.1%) [stale]
2026-03-15T23:07:55.003Z,5vJq2SxaYm8cLUcG,gallery,6.2,0.4,-49.1,13,GAP -46.9% (peak 6.2%) [stale]
2026-03-15T23:07:58.752Z,58pGCdcNaJQZzeBy,ARCHITECTURE,4.4,2.1,-38.5,5,T5BAIL -35.9% @5s (peak 4.4%)
2026-03-15T23:08:03.417Z,9DwYGXQWoCnu38ny,MOSSAD,461.1,27.9,438.7,28,GRADUATED 83SOL
2026-03-15T23:08:04.538Z,HTquX4bgVeqU7WjU,Bender,-1.9,7.4,-5.9,7,T5BAIL -1.9% @7s (peak -1.9%)
2026-03-15T23:08:04.692Z,DTfqxCtAtDRsffMF,Feels,-1.6,6.3,-5.6,6,T5BAIL -1.6% @6s (peak -1.6%)
2026-03-15T23:08:05.034Z,BgkNB92qsDUgjHWm,LLM,-2.0,10.6,-30.6,17,SL -27.7% [stale]
2026-03-15T23:08:07.040Z,DNkSNVeYF1DjrZG8,HERMANN,56.3,6.9,-39.2,48,TRAIL -59% (peak 56.3%) [stale]
2026-03-15T23:08:07.981Z,6MEFejjDtu7MEwEn,GAS,-0.7,0.5,-5.3,6,T5BAIL -1.3% @6s (peak -0.7%)
2026-03-15T23:08:09.042Z,6k9Hy36drcUk3aPk,GHNFTEES,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:08:19.069Z,58EsEhdgqP9ZKQYC,ENQUE,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T23:08:27.092Z,9Fwm5pW44QeH2YDv,253,-2.0,2.9,-14.1,14,STALE_FEED
2026-03-15T23:08:29.098Z,4KQQr328wEqioJfz,LARRY,11.4,0.2,-11.0,19,BE -7.3% (peak 11.4%) [stale]
2026-03-15T23:08:31.105Z,HnhEt5kvPkdn9ydd,UDA,-0.7,0.5,-4.7,20,STALE_FLAT
2026-03-15T23:08:42.885Z,2sSzT4L2hJKb4cr8,LOBSTER,-1.9,0.2,-31.0,5,T5BAIL -28.1% @5s (peak -1.9%)
2026-03-15T23:08:45.141Z,3NJkW4QHxHSMD68x,HERMANN,19.5,0.6,-37.3,8,TRAIL -45% (peak 19.5%) [stale]
2026-03-15T23:08:48.774Z,D7V99rvge4AntY41,BARRON,-2.0,2.2,-18.5,6,T5BAIL -15.0% @6s (peak -2.0%)
2026-03-15T23:08:48.794Z,CgK7LjAUWPT8sRdc,DVU,-1.3,5.2,-5.3,5,T5BAIL -1.3% @5s (peak -1.3%)
2026-03-15T23:08:59.193Z,EKJaDXZmJdkXMjm6,F4LC0N,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:09:03.200Z,4pDtMNjy6kYpqtsR,BULLRUN,-2.0,0.0,-18.3,6,SL -14.9% [stale]
2026-03-15T23:09:05.208Z,8aw73j2Pqvr2nYqQ,MERCURY,39.2,9.4,-26.4,42,TRAIL -45% (peak 39.2%) [stale]
2026-03-15T23:09:07.216Z,7tTLYMSmp49KGCRb,JORDAN,52.3,11.8,-17.8,36,TRAIL -44% (peak 52.3%) [stale]
2026-03-15T23:09:13.224Z,CGNsYdjJaCmrue4k,GEM,7.9,0.0,-7.1,20,STALE_FLAT
2026-03-15T23:09:15.228Z,CXwe2enGPCBzjyc8,BARRON,-2.0,3.0,-28.5,9,SL -25.5% [stale]
2026-03-15T23:09:17.228Z,Akf4WgR2vSZNjF5n,WRT,-1.9,3.2,-5.9,14,STALE_FEED
2026-03-15T23:09:23.239Z,3puY4pMhDj8qAob8,Loyal,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T23:09:28.104Z,Hhtc4Yk85ZonUHEK,CAT,-2.0,1.0,-7.9,5,T5BAIL -4.0% @5s (peak -2.0%)
2026-03-15T23:09:29.260Z,BhiZtpEn74VnRYZ7,BARRON,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:09:33.275Z,54yX8qAXYzqC5EuA,Grover ,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:09:41.303Z,7ZtBt3vtHc2dpPtm,bolls,33.1,4.3,-13.4,28,TRAIL -32% (peak 33.1%) [stale]
2026-03-15T23:09:44.943Z,EWDPtSmZigj5T6gJ,Yellowchip,-0.7,4.7,-4.7,5,T5BAIL -0.7% @5s (peak -0.7%)
2026-03-15T23:09:51.332Z,EW5nkixXnkpHEq5a,EPES,54.4,296.3,-31.0,301,TIMEOUT -28.0%
2026-03-15T23:09:51.337Z,8buL4BNGfzhkJC12,DISTRO,49.7,9.4,-4.5,28,STALE_FLAT
2026-03-15T23:09:57.348Z,FwHYk12dWRrAnLT6,rug pull,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T23:10:05.049Z,7ZtBt3vtHc2dpPtm,bolls,-1.4,1.5,-19.4,6,T5BAIL -16.0% @6s (peak -1.4%)
2026-03-15T23:10:09.381Z,ARUvkoJ82D7miC3e,BRYP,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:10:09.386Z,D38kKXTs3xQdpk5C,PR,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:10:11.383Z,DovuP4Bk7MzXAJfB,Decision,41.5,1.6,-31.8,20,TRAIL -50% (peak 41.5%) [stale]
2026-03-15T23:10:18.348Z,ExpttpBK9rRqxoeK,Decision,-2.0,0.1,-20.1,5,T5BAIL -16.8% @5s (peak -2.0%)
2026-03-15T23:10:19.396Z,5Tbzqp9BJXufB9QB,NigAgent,-2.0,3.0,-5.9,12,STALE_FEED
2026-03-15T23:10:21.402Z,2idwYduc2MeVPMzu,Belief,36.0,3.0,-17.3,18,TRAIL -37% (peak 36.0%) [stale]
2026-03-15T23:10:25.412Z,CFxT3GycFQLhtkyL,FAT,5.4,1.2,-26.4,18,BE -23.3% (peak 5.4%) [stale]
2026-03-15T23:10:25.417Z,tfLurcMte9pRAT1y,BABYCLAW,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:10:25.421Z,8KVVcPQJpy3Asr8v,MOLE,32.5,0.1,-24.8,7,TRAIL -41% (peak 32.5%) [stale]
2026-03-15T23:10:29.357Z,AZhYZ6NopqgetEWw,AFART,-0.7,0.0,-5.9,6,T5BAIL -2.0% @6s (peak -0.7%)
2026-03-15T23:10:33.431Z,HFwGvYZVFFE6GnY4,$GLUMP,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T23:10:35.097Z,E1FkzgYQqNNanMEv,iFrame,-2.0,2.4,-17.2,6,T5BAIL -13.7% @6s (peak -2.0%)
2026-03-15T23:10:43.456Z,8kuyghgTDkhb72rL,Prime,250.5,104.6,52.2,303,TRAIL -55% (peak 250.5%) [stale]
2026-03-15T23:10:49.479Z,8WkMzeHz2d3n8VAs,Decision,38.3,5.9,-37.5,23,TRAIL -53% (peak 38.3%) [stale]
